Loss,BP+FE,CNN,CNN+FE,CNN+FE+HD,Caps+FE+HD,TDACAPS*
1,0.365482157,0.8,0.150507381,0.8,0.453953589,0.448033547
2,0.135013764,0.732772817,0.003365779,0.150075114,0.432408189,0.432524361
3,0.064879903,0.322893422,0.001765934,0.08108064,0.43105241,0.431103931
4,0.037015453,0.200530238,0.000540033,0.036565172,0.43165373,0.431299663
5,0.02350222,0.153520664,0.000591011,0.030697362,0.429731001,0.42936014
6,0.016696825,0.112874362,0.000191149,0.018033819,0.430236916,0.430182181
7,0.012716593,0.092810043,7.6265E-05,0.016998886,0.428972263,0.429009246
8,0.009922138,0.071398364,3.91127E-05,0.013084054,0.429367136,0.429380362
9,0.008146563,0.052980415,6.65263E-05,0.005792328,0.428622515,0.428488738
10,0.006695047,0.044172055,0.00027065,0.012426793,0.42775718,0.427575778
11,0.005765128,0.03395831,0.000160761,0.006003309,0.42838145,0.426805243
12,0.004925305,0.028674281,0.000146153,0.008402752,0.427880458,0.422378288
13,0.00431002,0.022090066,0.000118577,0.010006745,0.428111246,0.398274332
14,0.003774534,0.021691887,4.1151E-05,0.0030917,0.426663067,0.336912342
15,0.003403719,0.018901314,5.6833E-05,0.0029152,0.42619439,0.290066676
16,0.002971946,0.015329374,1.09784E-05,0.010683839,0.418850932,0.257924593
17,0.002738186,0.013863879,3.10004E-05,0.003845525,0.392879375,0.228782789
18,0.002468532,0.011271233,0.000164031,0.000943287,0.334328164,0.202333111
19,0.002229129,0.009238284,7.07319E-05,0.002226481,0.294878831,0.184609006
20,0.002064056,0.008209709,5.50172E-05,0.002715005,0.266530132,0.168390208
21,0.001910476,0.007840085,2.29651E-05,0.001756374,0.231103025,0.146669649
22,0.001749155,0.006609502,1.89476E-05,0.001459379,0.203018222,0.120405979
23,0.001629136,0.007404375,0.000102718,0.001314825,0.187183894,0.103451847
24,0.001497861,0.005417944,1.08648E-05,0.000512035,0.171060628,0.092243755
25,0.001427642,0.006110863,2.04275E-07,0.00082807,0.151716363,0.073039636
26,0.001316328,0.005029565,5.39826E-06,0.001750339,0.142546331,0.065601932
27,0.001231693,0.004721634,1.27678E-06,0.001895204,0.112710876,0.056679544
28,0.001181149,0.004913795,7.13409E-07,0.001728691,0.095568955,0.049643177
29,0.001121132,0.004300031,2.80244E-07,0.000804547,0.098297064,0.050179111
30,0.001071922,0.004937582,4.13746E-06,0.000591532,0.082603864,0.045450222
31,0.001017669,0.003499241,5.85369E-06,0.000751205,0.087355451,0.037256103
32,0.000971526,0.004114167,0.000154829,0.002079075,0.069993437,0.032373678
33,0.000917057,0.003421391,5.94296E-05,0.001592662,0.06674769,0.03930891
34,0.000892442,0.002966304,1.95632E-05,0.001468176,0.066526489,0.035408524
35,0.000848145,0.002451804,0.000183843,0.00073552,0.057613544,0.025682604
36,0.000811847,0.002622842,2.06018E-05,0.000375526,0.059245952,0.023255549
37,0.000785832,0.002897661,1.5043E-06,0.000897117,0.055867783,0.01843587
38,0.000764989,0.00317316,2.56525E-05,0.000405686,0.055221214,0.020337291
39,0.000737372,0.00246855,1.0116E-05,0.001762945,0.049971398,0.015912644
40,0.000718524,0.002265085,1.60667E-06,0.000159914,0.04694915,0.02055402
